270,INWARD MONEY TRANSFER,Others
461,BHARTI AXA LIFE INSURANCE,Insurance
462,BHARTI AIRTEL LTD MUMBAI MOBILE BILL PAY,Telecom
481,BHARTI AIRTEL LTD ORISSA,Telecom
11,LOOP MOBILE INDIA LTD,Telecom
482,BHARTI AIRTEL UP WEST,Telecom
526,TATA TELESERVICES LTD LANDLINE AND MOB,Telecom
527,TATA TELESERVICES UP WEST LANDLINE AND M,Telecom
528,TATA TELESERVICES UP EAST LANDLINE AND M,Telecom
529,TATA TELESERVICES RAJASTHAN LANDLINEANDM,Telecom
530,TATA TELESERVICES PUNJAB LANDLINE AND MO,Telecom
531,TATA TELESERVICE ORISSA LANDLINE AND MOB,Telecom
532,"TATA TELESERVICES MP LAND,MOBILE &PHOTON",Telecom
533,TATA TELESERVICES KERALA LANDLINE AND MO,Telecom
534,TATA TELESERVICES BIHAR LANDLINE AND MOB,Telecom
535,TATA TELESERVICES HARYANA LANDLINE AND M,Telecom
536,"TATA TELESERVICES HP LAND,MOBILE &PHOTON",Telecom
54,AIRTEL HYDERABAD,Telecom
11,BPL MOBILE,Telecom
123,BPL MAH. & GOA MOTS,Telecom 
96,BSNL - CHANDIGARH,Telecom
101,BSNL - MANGLORE,Telecom
107,BSNL-MYSORE,Telecom
71,MAHARASHTRA STATE ELECTRICTY BOARD,Utility
62,"BSNL, BANGALORE",Telecom
42,CHENNAI TELEPHONES,Telecom
72,JAIPUR TELEPHONE DISTRICT,Telecom
81,LIFE INSURANCE CORPORATION OF INDIA,Insurance
5,"MTNL, MUMBAI",Telecom
59,SPICE CELL,Telecom
63,SPICE CELL(KARNATAKA),Telecom
506,INFOSYS PAYMENT GATEWAY,Others
187,VODAFONE ESSAR SOUTH LTD KARNATAKA,Telecom
205,INFOSYS ESOP ACCOUNT,Others
181,DHIRUBHAI AMBANI INTERNATIONAL SCHOOL,Education
16,B.E.S.&T. UNDERTAKING,Utility
662,ICICI PRUDENTIAL LIFE INS.  LTD- ATM,Insurance
110,ICICI PRUDENTIAL LIFE INSURANCE,Insurance
32,AIRCEL CELLULAR,Telecom
36,AIRTEL BANGALORE,Telecom
33,AIRTEL CHENNAI,Telecom
20,AIRTEL DELHI,Telecom
418,AIRTEL MUMBAI LANDLINE,Telecom
420,ALLIANZ BAJAJ,Insurance
263,AMERICAN EXPRESS CARDS,Credit Cards
332,ANDHRA PRADESH POWER CORP,Utility
970,BESCOM,Utility
421,BHARTI CELLULAR AHMEDABAD,Telecom
382,BHARTI CELLULAR LTD,Telecom
424,BHARTI INFOTEL BANGALORE,Telecom
425,BHARTI INFOTEL CHENNAI (TOUCHTEL),Telecom
417,BHARTI INFOTEL DELHI (LANDLINE),Telecom
250,BIRLA SUNLIFE INSURANCE,Insurance
248,BSES RAJDHANI POWER LIMITED,Utility
249,BSES YAMUNA POWER LIMITED,Utility
130,BSNL - KOLKATA,Telecom
247,BSNL AHEMDABAD,Telecom
251,BSNL CELL ONE PUNE,Telecom
198,BSNL GURGAON,Telecom
194,BSNL HYDERABAD,Telecom
195,BSNL KALYAN,Telecom
246,BSNL PUNE,Telecom
220,C.E.S.C CALCUTTA,Utility
395,CHENNAI METRO WATER SUPPLY & SEWAGE BRD.,Utility
395,CHENNEI METRRO WATER SUPPLY & SEWAGE,Utility
184,CORPORATION OF CHENNAI,Government
550,HATHWAY CABLE & DATACOM PVT. LTD.,DTH
338,HUTCHISON ESSAR CELLULAR LTD( BPL )PUNE,Telecom
336,HYDERABAD METRO WATER SUPPLY AND SEWAGE,Utility
43,IDEA CELLULAR LTD,Telecom
61,IDEA CELLULAR LTD GUJARAT,Telecom
24,IDEA CELLULAR LTD HARYANA,Telecom
423,ING-VYASA LIFE,Insurance
178,MAHANAGAR GAS LTD,Utility
422,MAX NEW YORK LIFE,Insurance
505,METLIFE INSURANCE,Insurance
554,MTNL DOLPHIN  MUMBAI,Telecom
555,MTNL GARUDA MUMBAI,Telecom
174,"MTNL, DELHI",Telecom
337,MUNICIPAL CORPORATION OF HYDERABAD,Government
171,NORTH DELHI POWER LTD(NDPL),Utility
204,ORANGE (HUTCHISON MAX TELECOM LTD.),Telecom
31,RELIANCE ENERGY LIMITED.,Utility
197,RELIANCE INFOCOMM LTD,Telecom
518,RELIANCE LIFE INSURANCE,Insurance
419,TATA INDICOM,Telecom
510,TATA TELE SERVICES  BARODA,Telecom
508,TATA TELE SERVICES AHMEDABAD,Telecom
509,TATA TELE SERVICES BANGALORE,Telecom
511,TATA TELE SERVICES CHENNAI,Telecom
512,TATA TELE SERVICES DELHI,Telecom
513,TATA TELE SERVICES SURAT,Telecom
14,TATA TELESERVICES LIMITED,Telecom
346,TORRENT POWER AEC LIMITED,Utility
387,VODAFONE ESSAR CELLULAR LTD,Telecom
553,VODAFONE ESSAR DIGILINK LTD,Telecom
10,VODAFONE ESSAR EAST LTD KOLKATTA,Telecom
97,VODAFONE ESSAR GUJARAT LTD (GUJARAT),Telecom
18,VODAFONE ESSAR LTD (MUMBAI),Telecom
27,VODAFONE ESSAR MOBILE SERVICES LTD DELHI,Telecom
552,VODAFONE ESSAR SOUTH LIMITED,Telecom
252,VODAFONE HYDERABAD,Telecom
460,ICICI LOMBARD HEALTH INSURANCE,Insurance
381,ICICI LOMBARD (MOTOR INSURANCE),Insurance
156,BHARAT PETROLEUM CORPORATION LTD,Utility
168,INDIAN OIL CORPORATION LTD,Utility
124,GUJARAT ELECTRICITY BOARD,Utility
350,PUNE MUNICIPAL CORPORATION PROPERTY TAX,Government
160,GAIL INDIA LIMITED,Utility
500,AIRTEL MP LANDLINE,Telecom
464,BHARTI AIRTEL LTD MP,Telecom
516,BHARTI AIRTEL LTD BIHAR(MOBILE BILL PAY),Telecom
33,AIRTEL MOBILE - CHENNAI,Telecom
493,AIRTEL KERALA LANDLINE,Telecom
483,BHARTI AIRTEL LTD KERALA,Telecom
499,AIRTEL HARYANA LANDLINE,Telecom
492,AIRTEL KOLKATTA LANDLINE,Telecom
417,AIRTEL LANDLINE / BROADBAND-DELHI,Telecom
495,AIRTEL PUNJAB LANDLINE,Telecom
498,AIRTEL UP EAST LANDLINE,Telecom
497,AIRTEL UP WEST LANDLINE,Telecom
515,BHARTI AIRTEL LTD HP(MOBILE BILLPAYMENT),Telecom
502,AIRTEL GUJARAT LANDLINE,Telecom
425,AIRTEL LANDLINE / BROADBAND-TAMILNADU,Telecom
501,AIRTEL REST OF MAHARASHTRA LANDLINE,Telecom
514,BHARTI  AIRTEL LTD REST OF WEST BENGAL,Telecom
465,BHARTI AIRTEL LTD JAMMU & KASHMIR,Telecom
517,BHARTI  AIRTEL LTD ASSAM,Telecom
36,AIRTEL  MOBILE - BANGALORE,Telecom
494,AIRTEL ANDHRA PRADESH LANDLINE,Telecom
424,AIRTEL LANDLINE / BROADBAND-BANGALORE,Telecom
496,AIRTEL RAJASTHAN LANDLINE,Telecom
65,AIRTEL(BHARTI HEXACOM LTD),Telecom
578,NEWDELHI MUNICIPAL COUNCIL,Municipal Corporation
202,PSBB SENIOR SECONDARY SCHOOL,Education
170,VODAFONE ESSAR SOUTH LTD CHENNAI,Telecom
28,CELLULAR LTD KERALA,Telecom
196,"ESCOTEL, KERALA",Telecom 
200,AIRTEL PUNJAB,Telecom
201,AIRTEL HARYANA,Telecom
484,AIRTEL MOBILE - TAMILNADU EXCEPT CHENNAI,Telecom
484,BHARTI AIRTEL LTD REST OF TAMILNADU,Telecom
631,MUNICIPAL CORPORATION OF GURGAON,Municipal Corporation
30,IDEA CELLULAR LTD (AP),Telecom
525,DISH TV RECHARGE,DTH
125,ICICI BANK DEMAT,Others
78,IDEA CELLULAR LTD. GOA,Telecom
20,AIRTEL MOBILE-DELHI,Telecom
382,BHARTI CELLULAR LTD.,Telecom
23,IDEA CELLULAR LTD UP (WEST,Telecom
109,SPICE COMMUNICATION LTD (CHANDIGARH),Telecom
109,Spice Communication Ltd (Chandigharh),Telecom
84,HFCL INFOTEL LTD,Telecom
219,VODAFONE ESSAR SOUTH LTD PUNJAB,Telecom
504,ORTEL COMM LTD,DTH
507,ORTEL COMMUNICATIONS LTD,Telecom
610,DIRECT TO HOME RECHARGE,Online DTH
488,APS IMPEX,Ecommerce
546,AVIVA LIFE INSURANCE,Insurance
581,BIRLA SUN MUTUAL FUND,AMC
548,BSNL CELLONE,Telecom
580,CANCER PATIENTS AID ASSOCIATION,DONATION
586,HDFC MUTUAL FUND,AMC
579,HELPAGE INDIA,DONATION
584,ICICI PRUDENTIAL MUTUAL FUND,AMC
551,IDEA CELLULAR,Telecom
583,MADHYA PRADESH STATE ELECTRICITY BOARD,Utility
587,NATIONAL ASSOCIATION FOR THE BLIND,DONATION
591,PEOPLE FOR ETHICAL TREATMENT OF ANIMAL,DONATION
590,PLNG RURAL-URBAN INTGRD DEVPT THRU EDUCN,Others
592,SAVE THE CHILDREN INDIA,DONATION
547,SBI LIFE INSURANCE,Insurance
588,SHREE SIDDHIVINAYAK TEMPLE TRUST,DONATION
582,TATA AIG LIFE INSURANCE COMPANY LTD,Insurance
549,TATA POWER COMPANY LIMITED,Utility
589,WOMEN'S INSTITUTE FOR SOCIAL EDUCATION,DONATION
401,KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE,Insurance
426,FIL FUND MANAGEMENT PRIVATE LTD,AMC
489,VIRTUAL TREASURY GOVT OF MAHARASHTRA,Government
594,NEW PENSION SYSTEM - NPS,Others
576,MUNICIPAL CORPORATION OF FARIDABAD TAXES,Municipal Corporation
463,BHARTI AIRTEL LTD UP EAST,Telecom
720,CANARA HSBC OBC LIFE INSURANCE,Insurance
691,DSP BLACKROCK MUTUAL FUND,AMC
692,FRANKLIN TEMPLETON MUTUAL FUND,AMC
688,HDFC STANDARD LIFE INSURANCE,Insurance
710,INDRAPRASTHA GAS LIMITED,Utility
672,QUANTUM MUTUAL FUND,AMC
696,TATA DOCOMO  ASSAM,Telecom
700,TATA DOCOMO  HIMACHAL PRADESH,Telecom
702,TATA DOCOMO  NORTH EAST,Telecom
703,TATA DOCOMO  PUNJAB,Telecom
704,TATA DOCOMO  RAJASTHAN,Telecom
706,TATA DOCOMO  UTTAR PARDESH (WEST),Telecom
705,TATA DOCOMO  UTTAR PRADESH  (EAST),Telecom
697,TATA DOCOMO - BIHAR,Telecom
698,TATA DOCOMO -DELHI,Telecom
699,TATA DOCOMO -GUJARAT,Telecom
701,TATA DOCOMO JAMMU & KASHMIR,Telecom
715,TATA TELESERVICES VIRGIN MOB KARNATAKA,Telecom
714,TATA TELESERVICES VIRGIN MOB MAHARASHTRA,Telecom
713,TATA TELESERVICES VIRGIN MOB RAJASTHAN,Telecom
718,TATA TELESERVICES VIRGIN MOBILE A.P.,Telecom
717,TATA TELESERVICES VIRGIN MOBILE DELHI,Telecom
711,TORRENT POWER BHIWANDI,Utility
585,HUBLI ELECTRICITY SUPPLY COMPANY LIMITED,Utility
643,RELIANCE MUTUAL FUND ISIP,AMC
620,TATA DOCOMO  ANDHRA PRADESH,Telecom
621,TATA DOCOMO  HARYANA,Telecom
622,TATA DOCOMO  KARNATAKA,Telecom
623,TATA DOCOMO  KERALA,Telecom
624,TATA DOCOMO  KOLKATA,Telecom
625,TATA DOCOMO  MAHARASHTRA,Telecom
627,TATA DOCOMO  ORISSA,Telecom
707,TATA DOCOMO BENGAL & SIKKIM,Telecom
626,TATA DOCOMO MP AND CHATTISGARH,Telecom
619,TATA DOCOMO TAMILNADU,Telecom
535,"TATA TELE HARYANA LAND, MOBILE & PHOTON",Telecom
530,"TATA TELE PUNJAB LAND,MOBILE &  PHOTON",Telecom
529,"TATA TELE RAJASTHAN LAND,MOBILE & PHOTON",Telecom
528,"TATA TELE UP EAST LAND,MOBILE &  PHOTON",Telecom
527,"TATA TELE UP WEST LAND, MOBILE &  PHOTON",Telecom
526,"TATA TELESERVICES LAND, MOBILE & PHOTON",Telecom
#N/A,"TATA TELE BIHAR LAND,MOBILE & PHOTON",Telecom
533,"TATA TELE KERALA LAND,MOBILE & PHOTON",Telecom
#N/A,"TATA TELE ORISSA LAND, MOBILE & PHOTON",Telecom
769,TATA TELESERVICES JAMMU & KASHMIR PHOTON,Telecom
#N/A,TATA TELESERVICES LIMITED ASSAM & PHOTON,Telecom
#N/A,TATA TELESERVICES LIMITED DELHI & PHOTON,Telecom
#N/A,TATA TELESERVICES VIRGIN MOBILE GUJARAT,Telecom
709,Adani Gas,Utility
721,Central Power Distribution Company Of Andhra Pradesh(Aptransco),Utility
72,BSNL Jaipur,Telecom
777,Jamshedpur Utilities and Services Company Limited,Utility
779,L & T Mutual Fund,AMC
780,Pramerica Asset Managment,AMC
776,Airtel Patna,Telecom
767,Bsnl Amritsar,Telecom
764,Bsnl Guhawati,Telecom
766,Bsnl Lucknow,Telecom
765,Bsnl Surat,Telecom
775,Vodafone Assam,Telecom
774,Vodafone Jaipur,Telecom
772,Vodafone Jammu & kashmir,Telecom
771,Vodafone Kerala,Telecom
773,Vodafone Madhya pradesh,Telecom
768,Tata Teleservices Assam,Telecom
770,Tata Teleservices Delhi,Telecom
688,HDFC STANDARD LIFE MF,AMC
689,UTI MF,AMC
691,DSP BLOCKROCK MUTUAL FUND,AMC
692,FRANKLIN TEMPLETON MUTUAL FUND ,AMC
693,IDFC MUTUAL FUND - ISP,AMC
694,QUANTUM MUTUAL FUND,AMC
695,SBI MUTUAL FUND ISIP,AMC
43,IDEA CELLULAR LTD.PUNE,Telecom
,TATA DOCOMO  (PUNJAB) - GSM,Telecom
,TATA DOCOMO  (PUNJAB) – GSM,Telecom
,TATA DOCOMO  (RAJASTHAN) - GSM,Telecom
,TATA DOCOMO  (RAJASTHAN) – GSM,Telecom
,TATA DOCOMO ( BIHAR) - GSM,Telecom
620,TATA DOCOMO (ANDHRA PRADESH) - GSM,Telecom
620,TATA DOCOMO (ANDHRA PRADESH) – GSM,Telecom
696,TATA DOCOMO (ASSAM) - GSM,Telecom
696,TATA DOCOMO (ASSAM) – GSM,Telecom
698,TATA DOCOMO (DELHI) - GSM,Telecom
698,TATA DOCOMO (DELHI) – GSM,Telecom
699,TATA DOCOMO (GUJARAT) - GSM,Telecom
699,TATA DOCOMO (GUJARAT) – GSM,Telecom
621,TATA DOCOMO (HARYANA) - GSM,Telecom
621,TATA DOCOMO (HARYANA) – GSM,Telecom
622,TATA DOCOMO (KARNATAKA) - GSM,Telecom
622,TATA DOCOMO (KARNATAKA) – GSM,Telecom
623,TATA DOCOMO (KERALA) - GSM,Telecom
623,TATA DOCOMO (KERALA) – GSM,Telecom
624,TATA DOCOMO (KOLKATA) - GSM,Telecom
624,TATA DOCOMO (KOLKATA) – GSM,Telecom
625,TATA DOCOMO (MAHARASHTRA) - GSM,Telecom
625,TATA DOCOMO (MAHARASHTRA) – GSM,Telecom
626,TATA DOCOMO (MP & CHATTISGARH)- GSM,Telecom
,TATA DOCOMO (NORTH EAST)  - GSM,Telecom
619,TATA DOCOMO (TAMILNADU)-GSM,Telecom
706,TATA DOCOMO (UTTAR PARDESH-WEST) - GSM,Telecom
706,TATA DOCOMO (UTTAR PARDESH-WEST) – GSM,Telecom
,TATA DOCOMO (UTTAR PRADESH-EAST) - GSM,Telecom
528,"TATA DOCOMO, ,PHOTON(UP EAST)- CDMA",Telecom
768,"TATA DOCOMO, PHOTON (ASSAM)- CDMA",Telecom
,"TATA DOCOMO, PHOTON (DELHI) - CDMA",Telecom
,"TATA DOCOMO, PHOTON (PUNJAB) - CDMA",Telecom
,"TATA DOCOMO, PHOTON (RAJASTHAN) - CDMA",Telecom
14,"TATA DOCOMO, PHOTON - (GSM,CDMA) HYD",Telecom
419,"TATA DOCOMO, PHOTON- (GSM,CDMA) MUMBAI",Telecom
510,"TATA DOCOMO, PHOTON-(GSM,CDMA) BARODA",Telecom
508,"TATA DOCOMO, PHOTON-(GSM,CDMA)AHMEDABAD",Telecom
509,"TATA DOCOMO, PHOTON-(GSM,CDMA)BANGALORE",Telecom
,"TATA DOCOMO,PHOTON (HARYANA) - CDMA",Telecom
,"TATA DOCOMO,PHOTON (HP) - CDMA",Telecom
532,"TATA DOCOMO,PHOTON (MP)- CDMA",Telecom
,"TATA DOCOMO,PHOTON (ORISSA) - CDMA",Telecom
527,"TATA DOCOMO,PHOTON (UP WEST) -CDMA",Telecom
,"TATA DOCOMO,PHOTON(BIHAR) - CDMA",Telecom
769,"TATA DOCOMO,PHOTON(JAMMU- KASHMIR) CDMA",Telecom
,"TATA DOCOMO,PHOTON(KERALA) - CDMA",Telecom
526,"TATA DOCOMO,PHOTON, CDMA (LANDLINE, MOB)",Telecom
774,VODAFONE JAIPUR,Telecom
771,VODAFONE KERALA,Telecom
773,VODAFONE MADHYA PRADESH,Telecom
721,A.P. CENTRAL POWER DISTRIBUTION CO LTD,Utility
766,BSNL LUCKNOW,Telecom
767,BSNL AMRITSAR,Telecom
700,TATA DOCOMO (HIMACHAL PRADESH) - GSM,Telecom
701,TATA DOCOMO (JAMMU & KASHMIR) - GSM,Telecom
627,TATA DOCOMO (ORISSA) - GSM,Telecom
511,"TATA DOCOMO, PHOTON – (GSM,CDMA) CHENNAI",Telecom
513,"TATA DOCOMO, PHOTON – (GSM,CDMA) SURAT",Telecom
582,Tata AIA Life Insurance Company Limited,Insurance
775,VODAFONE ASSAM,Telecom
171,Tata Power Delhi Distribution Limited,Utility
582,New TATA AIA LIFE INSURANCE COMPANY LTD,Insurance
779,L & T MUTUAL FUND ISIP,AMC
777,JAMSHEDPUR UTILITIES AND SERVICES CO LTD,Utility
709,ADANI GAS,Utility
764,BSNL GUHAWATI,Telecom
765,BSNL SURAT,Telecom
793,DAKSHIN GUJARAT VIJ COMPANY LTD,Utility
798,FUTURE GENERALI INDIA,Insurance
792,MADHYA GUJARAT VIJ COMPANY,Utility
791,PASCHIM GUJARAT VIJ COMPANY LTD,Utility
511,"TATA DOCOMO, PHOTON (GSM,CDMA) CHENNAI",Telecom
513,"TATA DOCOMO, PHOTON (GSM,CDMA) SURAT",Telecom
790,UTTAR GUJARAT VIJ COMPANY LTD,Utility
71,MAHARASHTRA STATE ELECTRICITY BOARD-PUNE,Utility
818,BSNL Indore,Telecom
821,BSNL Bhopal,Telecom
820,BSNL RAJKOT,Telecom
819,BSNL KANPUR,Telecom
713,TATA TELESERVICES VIRGIN MOB RAJASTHAN,Telecom
18,VODAFONE INDIA LTD ( MUMBAI ),Telecom
843,VODAFONE SOUTH LIMITED (ROTN),Telecom
219,VODAFONE SOUTH LTD PUNJAB,Telecom
844,BSNL JALANDHAR,Telecom
,Vodafone – Rest of Tamil Nadu,Telecom
842,Aegon Religare,Insurance
841,BSNL AGRA,Telecom
840,BSNL Faridabad,Telecom
846,BSNL KOLHAPUR,Telecom
847,BSNL LUDHIANA,Telecom
821,BHARAT SANCHAR NIGAM LTD.-BHOPAL,Telecom
818,BHARAT SANCHAR NIGAM LTD.-INDORE,Telecom
820,BHARAT SANCHAR NIGAM LTD.-RAJKOT,Telecom
852,MTNL DELHI - DOLPHIN,Telecom
848,MTNL DELHI GARUDA,Telecom
772,VODAFONE JAMMU & KASHMIR,Telecom
798,Future Generali India Life Ins Co Ltd,Insurance
827,Eastern Power Distribution Company of AP Ltd (EPDCL),Utility
842,AEGON RELIGARE LIFE INSURANCE COMPANY LIMITED,Insurance
845,GSPC GAS COMPANY LTD,Utility
851,AIRTEL TELEPHONE & BROADBAND WEST BENGAL,Telecom
850,VODAFONE WEST BENGAL,Telecom
842,AEGON RELIGARE LIFE INSURANCE CO. LTD.,Insurance
776,AIRTEL PATNA,Telecom
263,AMERICAN EXPRESS CARDS (Non ICICI Bank ),Credit Cards
,BHARAT SANCHAR NIGAM LTD.-KANPUR,Telecom
840,BSNL FARIDABAD,Telecom
693,IDFC MUTUAL FUND - ISIP,AMC
886,DIRECT TO HOME RECHARGE EURONET,Online DTH
849,VODAFONE HIMACHAL PRADESH,Telecom
713,TATA TELESERVICES VIRGIN MOB RAJASTHAN,Telecom
641,ICICI BANK HOME LOANS,Others
640,ICICI BANK LOANS,Others
263,AMERICAN EXPRESS CARDS-NON ICICI BANK,Credit Cards
695,SBI MUTUAL FUND ISIP,AMC
693,IDFC MUTUAL FUND-ISIP,AMC
693,IDFC MUTUAL FUND - ISIP,AMC
589,WOMENS INSTITUTE FOR SOCIAL EDUCATION,DONATION
907,BHARAT SANCHAR NIGAM LTD. -CHENNAI,Telecom
180,SIFY INTERNET RENEWAL,Others
387,VODAFONE CELLULAR LTD (PUNE),Telecom
143,HDFC LIQUID-DIVPAY,Others
513,"TATA DOCOMO PHOTON (GSM,CDMA) SURAT",Telecom
957,ICICI BANK PREPAID CARD,Credit Cards
952,VADODARA MUNICIPAL CORPORATION,Municipal Corporation
423,EXIDE LIFE INSURANCE COMPANY LIMITED,Insurance
919,GUJARAT GAS COMPANY LTD,Utility
959,BHARAT SANCHAR NIGAM LTD.-PUNE,Telecom
913,BSNL (GOA),Telecom
914,BHARAT SANCHAR NIGAM LTD-JAMNAGAR,Telecom
915,BSNL- NAGPUR,Telecom
918,CHHATTISGARH STATE POWER DISTRIBUTION CO,Utility
923,VODAFONE DIGILINK LIMITED - HARYANA,Telecom
920,MTS,Telecom
950,AXIS MUTUAL FUND,AMC
16,BEST UNDERTAKING,Utility
917,BOI AXA MUTUAL FUND,AMC
751,MSEB NANDURBAR,Telecom
748,MSEB THANE,Telecom
949,PRINCIPAL MUTUAL FUND,AMC
922,SUNDARAM MUTUAL FUND,AMC
704,TATA DOCOMO (RAJASTHAN) - GSM,Telecom
702,TATA DOCOMO (NORTH EAST) - GSM,Telecom
961,Canara Robeco Mutual Fund,AMC
907,BSNL -CHENNAI,Telecom
820,BSNL-RAJKOT,Telecom
985,JAIPUR & JODHPUR VIDYUT VITARAN NIGAM LT,Utility
721,SOUTHERN POWER TELANGANA (TGSPDCL),Utility
709,ADANI GAS LTD,Utility
821,BSNL-BHOPAL,Telecom
818,BSNL-INDORE,Telecom
5,MTNL MUMBAI,Telecom
979,TORRENT POWER AGRA,Utility
914,BSNL-JAMNAGAR,Telecom
745,MSEB PUNE,Telecom
959,BSNL-PUNE,Telecom
979,TORRENT POWER LTD AGRA,Utility
711,TORRENT POWER LTD BHIWANDI,Utility
827,EPCPDCL ? VISAKHAPATNAM,Utility
1009,ICICI BANK POCKETS WALLET,Wallet
1026,BSNL AHMEDABAD,Telecom
1027,BSNL BANGLORE,Telecom
1028,BSNL KALYAN,Telecom
1030,TATA DOCOMO CDMA KARNATAKA,Telecom
1031,TATA DOCOMO CDMA ANDHRA PRADESH,Telecom
1032,TATA DOCOMO CDMA GUJARAT,Telecom
919,GUJARAT GAS LIMITED GGL,Utility
845,GUJARAT GAS LTD ERSTWHILE GSPCGASCUST,Utility
1034,TATA DOCOMO CDMA MAHARASHTRA,Telecom
1033,TATA DOCOMO CDMA KOLKATA,Telecom
842,AEGON LIFE INSURANCE COMPANY LTD,Insurance
1071,PPFAS MUTUAL FUND,AMC
1036,TATA DOCOMO CDMA TAMILNADU,Telecom
32,AIRCEL LIMITED,Telecom
1025,AIRTEL MOBILE GUJARAT,Telecom
827,APEPDCL,Utility
1029,IDBI MUTUAL FUND,AMC
1068,KOTAK LIFE INSURANCE,Insurance
1097,MOTILAL OSWAL ASSET MANAGEMENT ISIP,AMC
1173,ACT BROADBAND,Others
1025,AIRTEL MOBILE GUJARAT,Telecom
1177,BNP PARIBAS MUTUAL FUND ISIP,AMC
1024,BSNL MANGALORE,Telecom
1120,BSNL VADODARA,Telecom
,DHFL PRAMERICA MUTUAL FUND,
919,GUJARAT GAS LIMITED GGL,Utility
,ICICI BANK HFC LOANS,Loan
1154,KOTAK MUTUAL FUND ISIP,AMC
1155,MIRAE ASSET MUTUAL FUND ISIP,AMC
1167,MSEB,Utility
1226,QUICK PAY INDIAIDEAS,MM
1188,REDGIRRAFFE,Other
1185,UTTARPRADESH POWER CORPORATION LIMITED,Utility
1087,VODAFONE ODISHA,Telecom
